Member_ID,Name,Gender,Date_of_Birth,Age,Profession,Email,Phone,Address,Instagram,How_Heard,Visiting_Member,Followup_Personnel,First_Visit_Date,Member_Type,Age_Bucket
1,Mary Adebayo,Female,2017-11-06,8,Trader,user1@gmail.com,+2348339670711,"Street 36, Ibadan",@user1,Others,Yes,Worker_18,2024-02-14,Second Timer,Youth
2,John Okeke,Male,1990-08-04,35,Trader,user2@gmail.com,+2348642621108,"Street 155, Ibadan",@user2,Social Media,Yes,Worker_18,2024-08-02,First Timer,Adult
3,Ruth Ibrahim,Male,2009-04-25,16,Teacher,user3@gmail.com,+2348849621470,"Street 109, Ibadan",@user3,Friends,No,Worker_5,2024-04-20,Second Timer,Youth
4,Mary Ogunleye,Male,1993-10-01,32,Nurse,user4@gmail.com,+2348469319644,"Street 155, Ibadan",@user4,Friends,Yes,Worker_15,2024-10-01,First Timer,Adult
5,Mary Eze,Female,2006-02-22,20,Nurse,user5@gmail.com,+2348719927151,"Street 50, Ibadan",@user5,Others,Yes,Worker_2,2024-12-04,First Timer,Youth
6,Daniel Okeke,Male,2023-11-04,2,Engineer,user6@gmail.com,+2348508157429,"Street 72, Ibadan",@user6,Friends,No,Worker_6,2024-07-08,Second Timer,Youth
7,Daniel Okeke,Male,1998-07-25,27,Entrepreneur,user7@gmail.com,+2348882893941,"Street 63, Ibadan",@user7,Social Media,No,Worker_13,2024-05-18,First Timer,Youth
8,Grace Adebayo,Male,2019-11-16,6,Student,user8@gmail.com,+2348964411347,"Street 81, Ibadan",@user8,Friends,No,Worker_3,2024-04-18,Second Timer,Youth
9,Esther Ogunleye,Female,1998-09-14,27,Teacher,user9@gmail.com,+2348384412919,"Street 36, Ibadan",@user9,Social Media,No,Worker_19,2024-08-07,Second Timer,Youth
10,Sarah Balogun,Female,2005-05-27,20,Engineer,user10@gmail.com,+2348911514914,"Street 13, Ibadan",@user10,Social Media,Yes,Worker_6,2024-12-14,Second Timer,Youth
11,Mary Ogunleye,Female,2015-12-02,10,Developer,user11@gmail.com,+2348668132202,"Street 65, Ibadan",@user11,Others,Yes,Worker_4,2024-12-15,Second Timer,Youth
12,Grace Okeke,Female,2023-08-23,2,Designer,user12@gmail.com,+2348269820594,"Street 117, Ibadan",@user12,Social Media,No,Worker_17,2024-04-01,First Timer,Youth
13,Daniel Eze,Male,2017-03-19,9,Teacher,user13@gmail.com,+2348501486939,"Street 196, Ibadan",@user13,Social Media,Yes,Worker_20,2024-06-14,Second Timer,Youth
14,Mary Okafor,Female,1990-01-15,36,Trader,user14@gmail.com,+2348162196678,"Street 62, Ibadan",@user14,Others,Yes,Worker_3,2024-09-05,First Timer,Adult
15,Paul Balogun,Male,2023-04-14,2,Developer,user15@gmail.com,+2348690347116,"Street 43, Ibadan",@user15,Friends,No,Worker_7,2024-10-03,First Timer,Youth
16,Daniel Ogunleye,Female,2021-02-22,5,Developer,user16@gmail.com,+2348655742829,"Street 116, Ibadan",@user16,Social Media,Yes,Worker_8,2024-02-02,Second Timer,Youth
17,Ruth Eze,Male,1990-02-09,36,Trader,user17@gmail.com,+2348107721109,"Street 19, Ibadan",@user17,Others,Yes,Worker_8,2024-02-04,First Timer,Adult
18,Mary Eze,Male,2003-12-27,22,Doctor,user18@gmail.com,+2348818309417,"Street 125, Ibadan",@user18,Social Media,Yes,Worker_19,2024-10-22,Second Timer,Youth
19,Esther Ogunleye,Male,2000-01-25,26,Engineer,user19@gmail.com,+2348204078666,"Street 169, Ibadan",@user19,Friends,No,Worker_14,2024-07-29,Second Timer,Youth
20,John Okeke,Male,2021-11-14,4,Designer,user20@gmail.com,+2348881913386,"Street 87, Ibadan",@user20,Social Media,Yes,Worker_7,2024-04-07,Second Timer,Youth
21,Michael Balogun,Female,1995-06-15,30,Developer,user21@gmail.com,+2348368227631,"Street 20, Ibadan",@user21,Friends,Yes,Worker_2,2024-11-29,First Timer,Adult
22,Sarah Balogun,Female,1993-05-08,32,Developer,user22@gmail.com,+2348616854671,"Street 55, Ibadan",@user22,Friends,Yes,Worker_6,2024-07-13,First Timer,Adult
23,Daniel Adeyemi,Female,2006-09-05,19,Designer,user23@gmail.com,+2348847959430,"Street 188, Ibadan",@user23,Others,No,Worker_5,2024-04-07,Second Timer,Youth
24,John Abdullahi,Male,1998-12-06,27,Nurse,user24@gmail.com,+2348161380746,"Street 13, Ibadan",@user24,Others,No,Worker_17,2024-09-28,First Timer,Youth
25,Paul Okeke,Male,1991-09-19,34,Engineer,user25@gmail.com,+2348738914080,"Street 18, Ibadan",@user25,Others,Yes,Worker_13,2024-03-02,First Timer,Adult
26,Ruth Adebayo,Male,2015-02-19,11,Designer,user26@gmail.com,+2348805849060,"Street 150, Ibadan",@user26,Others,No,Worker_9,2024-04-14,Second Timer,Youth
27,Daniel Ogunleye,Male,1999-11-15,26,Doctor,user27@gmail.com,+2348590941149,"Street 81, Ibadan",@user27,Social Media,Yes,Worker_15,2024-11-14,First Timer,Youth
28,Paul Olawale,Female,1992-06-14,33,Teacher,user28@gmail.com,+2348474745382,"Street 18, Ibadan",@user28,Social Media,No,Worker_10,2024-03-21,Second Timer,Adult
29,Daniel Abdullahi,Male,2013-07-14,12,Entrepreneur,user29@gmail.com,+2348421455482,"Street 170, Ibadan",@user29,Social Media,Yes,Worker_9,2024-02-29,First Timer,Youth
30,Paul Balogun,Female,2022-06-20,3,Doctor,user30@gmail.com,+2348749431082,"Street 54, Ibadan",@user30,Others,No,Worker_7,2024-12-17,Second Timer,Youth
31,Esther Ibrahim,Male,2011-11-02,14,Engineer,user31@gmail.com,+2348781057736,"Street 109, Ibadan",@user31,Friends,Yes,Worker_1,2024-06-19,First Timer,Youth
32,Daniel Balogun,Female,2017-09-29,8,Entrepreneur,user32@gmail.com,+2348857704655,"Street 110, Ibadan",@user32,Others,Yes,Worker_4,2024-02-08,First Timer,Youth
33,John Okafor,Male,2013-08-21,12,Designer,user33@gmail.com,+2348236843584,"Street 11, Ibadan",@user33,Friends,No,Worker_2,2024-07-02,First Timer,Youth
34,Sarah Okeke,Female,2019-10-05,6,Entrepreneur,user34@gmail.com,+2348536344399,"Street 159, Ibadan",@user34,Others,Yes,Worker_8,2024-03-24,First Timer,Youth
35,John Balogun,Female,2007-08-30,18,Designer,user35@gmail.com,+2348961393416,"Street 172, Ibadan",@user35,Others,Yes,Worker_9,2024-03-22,First Timer,Youth
36,John Adeyemi,Male,2006-04-29,19,Trader,user36@gmail.com,+2348976803188,"Street 118, Ibadan",@user36,Friends,No,Worker_8,2024-04-24,First Timer,Youth
37,Sarah Ogunleye,Female,2018-10-09,7,Doctor,user37@gmail.com,+2348174539964,"Street 198, Ibadan",@user37,Friends,No,Worker_17,2024-07-23,Second Timer,Youth
38,Mary Ibrahim,Male,1990-05-28,35,Doctor,user38@gmail.com,+2348141078352,"Street 28, Ibadan",@user38,Others,No,Worker_12,2024-06-09,Second Timer,Adult
39,Paul Okeke,Female,2016-05-11,9,Trader,user39@gmail.com,+2348373506211,"Street 12, Ibadan",@user39,Others,No,Worker_1,2024-09-23,First Timer,Youth
40,Michael Okeke,Female,2005-07-03,20,Nurse,user40@gmail.com,+2348812306873,"Street 32, Ibadan",@user40,Others,No,Worker_17,2024-06-07,Second Timer,Youth
41,Michael Ibrahim,Male,2003-10-19,22,Trader,user41@gmail.com,+2348551450815,"Street 171, Ibadan",@user41,Friends,Yes,Worker_20,2024-10-18,Second Timer,Youth
42,Paul Adebayo,Female,2007-05-20,18,Doctor,user42@gmail.com,+2348325681936,"Street 111, Ibadan",@user42,Others,No,Worker_15,2024-08-14,Second Timer,Youth
43,Sarah Eze,Female,2019-06-22,6,Teacher,user43@gmail.com,+2348807435606,"Street 22, Ibadan",@user43,Friends,No,Worker_3,2024-04-30,Second Timer,Youth
44,Sarah Balogun,Male,1999-03-30,26,Student,user44@gmail.com,+2348362897676,"Street 122, Ibadan",@user44,Others,Yes,Worker_15,2024-07-31,First Timer,Youth
45,Michael Adeyemi,Female,2021-05-22,4,Trader,user45@gmail.com,+2348258453521,"Street 168, Ibadan",@user45,Others,Yes,Worker_4,2024-08-05,First Timer,Youth
46,Paul Adeyemi,Male,1997-01-20,29,Entrepreneur,user46@gmail.com,+2348367574609,"Street 32, Ibadan",@user46,Friends,Yes,Worker_15,2024-12-07,Second Timer,Youth
47,Esther Abdullahi,Female,2023-01-17,3,Entrepreneur,user47@gmail.com,+2348578796089,"Street 41, Ibadan",@user47,Others,No,Worker_15,2024-05-12,First Timer,Youth
48,Daniel Eze,Female,2017-10-08,8,Trader,user48@gmail.com,+2348394846763,"Street 113, Ibadan",@user48,Social Media,No,Worker_8,2024-05-19,Second Timer,Youth
49,Paul Okeke,Male,2003-07-05,22,Teacher,user49@gmail.com,+2348348315126,"Street 99, Ibadan",@user49,Others,Yes,Worker_7,2024-02-02,Second Timer,Youth
